5,Simply awesome,Really satisfied with the Product I received... It’s totally genuine and the packaging was also really good so if ur planning to buy just go for it.
5,Perfect product!,Amazing phone with great cameras and better battery which gives you the best performance. I just love the camera .
5,Best in the market!,"Great iPhone very snappy experience as apple kind. Upgraded from iPhone 7.
Pros
-Camera top class
- Battery top performed
-Chipset no need to say as apple kind
-Security as you expect from apple
- Display super bright industry leading colour
accuracy and super responsive
-Build quality as expect from apple sturdy
premium durable beautiful stylish.
-Os most stable os in smartphone industry

Cons
-No 5G
-Display is not based on OLED technology
-Charger headphones and 1 apple stic...
READ MORE"
4,Value-for-money,"I'm Really happy with the product
Delivery was fast as well
..it was a gift for my sister and she loved it so much."
5,Highly recommended,"It's my first time to use iOS phone and I am loving my upgradation 😍😍 I love the color, I love the assebility of the phone....I need to learn more about its functionality, but as far as I have seen, it's quite easy and it has a lot of functions to work on, specially if you are a content writer or a blogger you get a lot of content creation platforms and they are really amazing.

This phone not only for good quality photography but a lot of other task too.😍💯"
5,Worth every penny,"Previously I was using one plus 3t it was a great phone
And then I decided to upgrade I am stuck between Samsung s10 plus or iPhone 11
I have seen the specs and everything were good except the display it’s somewhere between 720-1080 and it’s not even an amoled it’s an LCD display
But I decided to go with iPhone because I have never used an IOS device I have Been an android user from the past 9 years I ordered IPhone 11 (128gb) product red
My experience after using 3 weeks
1. The delivery ...
READ MORE"
5,Perfect product!,"Value for money
5 star rating
Excellent camera
Battery backup full day in single charge.

Tougher and water resistant design, glossy back.
The screen has excellent brightness and contrast.
Apple A13 Bionic is the fastest smartphone chip on the planet.
Excellent battery life, fast charging support.
Stereo speakers with great quality."
5,Highly recommended,What a camera .....just awesome ..you can feel this iPhone just awesome . Good for gaming also ...try pubg in hd it’s just wow
4,Pretty good,"I was using Iphone 6s and also Oneplus 6t. Both mobiles were perfectly alright in Photos, gaming, and smooth interface . My 6s mobile getting battery issue. thought upgrade to 11. Really like this mobile of its Internal storage (compare to 6s) , camera and its touch feeling. Its a worth buying mobile for me."
5,Great product,"Amazing Powerful and Durable Gadget.

I’m am very happy with the camera picture quality, Amazing face id unlocked in dark room, Strong battery with perfect screen size as you can carry easily in pocket. This is my third iPhone.

I shifted from android Samsung Note series to iPhone because of the strong build quality and peace of mind for next 3-4 years.

Don’t think to much just go for it and I suggest you to go for minimum 128gb variant or more 256gb.

I’ve attached my puppy pics and no fi...
READ MORE"
5,Simply awesome,Really satisfied with the Product I received... It’s totally genuine and the packaging was also really good so if ur planning to buy just go for it.
5,Perfect product!,Amazing phone with great cameras and better battery which gives you the best performance. I just love the camera .
5,Best in the market!,"Great iPhone very snappy experience as apple kind. Upgraded from iPhone 7.
Pros
-Camera top class
- Battery top performed
-Chipset no need to say as apple kind
-Security as you expect from apple
- Display super bright industry leading colour
accuracy and super responsive
-Build quality as expect from apple sturdy
premium durable beautiful stylish.
-Os most stable os in smartphone industry

Cons
-No 5G
-Display is not based on OLED technology
-Charger headphones and 1 apple stic...
READ MORE"
4,Value-for-money,"I'm Really happy with the product
Delivery was fast as well
..it was a gift for my sister and she loved it so much."
5,Highly recommended,"It's my first time to use iOS phone and I am loving my upgradation 😍😍 I love the color, I love the assebility of the phone....I need to learn more about its functionality, but as far as I have seen, it's quite easy and it has a lot of functions to work on, specially if you are a content writer or a blogger you get a lot of content creation platforms and they are really amazing.

This phone not only for good quality photography but a lot of other task too.😍💯"
5,Worth every penny,"Previously I was using one plus 3t it was a great phone
And then I decided to upgrade I am stuck between Samsung s10 plus or iPhone 11
I have seen the specs and everything were good except the display it’s somewhere between 720-1080 and it’s not even an amoled it’s an LCD display
But I decided to go with iPhone because I have never used an IOS device I have Been an android user from the past 9 years I ordered IPhone 11 (128gb) product red
My experience after using 3 weeks
1. The delivery ...
READ MORE"
5,Perfect product!,"Value for money
5 star rating
Excellent camera
Battery backup full day in single charge.

Tougher and water resistant design, glossy back.
The screen has excellent brightness and contrast.
Apple A13 Bionic is the fastest smartphone chip on the planet.
Excellent battery life, fast charging support.
Stereo speakers with great quality."
5,Highly recommended,What a camera .....just awesome ..you can feel this iPhone just awesome . Good for gaming also ...try pubg in hd it’s just wow
4,Pretty good,"I was using Iphone 6s and also Oneplus 6t. Both mobiles were perfectly alright in Photos, gaming, and smooth interface . My 6s mobile getting battery issue. thought upgrade to 11. Really like this mobile of its Internal storage (compare to 6s) , camera and its touch feeling. Its a worth buying mobile for me."
5,Great product,"Amazing Powerful and Durable Gadget.

I’m am very happy with the camera picture quality, Amazing face id unlocked in dark room, Strong battery with perfect screen size as you can carry easily in pocket. This is my third iPhone.

I shifted from android Samsung Note series to iPhone because of the strong build quality and peace of mind for next 3-4 years.

Don’t think to much just go for it and I suggest you to go for minimum 128gb variant or more 256gb.

I’ve attached my puppy pics and no fi...
READ MORE"
5,Fabulous!,This is my first iOS phone. I am very happy with this product. Very much satisfied with this. I love this phone.
5,Classy product,Best and amazing product.....phone looks so premium.... battary is also good as expected .... Wide angle camera is so addictive ...if you are a IOS lover....then this phone will be the best choice for you all!!💯🔥
5,Worth every penny,"i11 is worthy to buy, too much happy with the product. Thank u flipkart I received the item on time..loved it.."
5,Perfect product!,"It’s a must buy who is looking for an upgrade from previous generation of iPhones. If you are using XR then still you can hold on for sometime and upgrade to 2020 model else this phone is a must buy . Camera quality is amazing and wide angle is something to count upon. Performance wise it’s amazing and feels premium while holding in hand. So a big YES for this device. Go for 128 GB variant as the 4K videos will occupy lots of space and the storage can get over very quickly. Try to buy it with...
READ MORE"
